root,meaning,origin,sample_words
mend-,"defect, fault",Latin,"amend, amendment, emend, mendacious, mendacity"
menstru-,monthly,Latin,"menstrual, menstruation"
mensur-,measure,Latin,"commensurable, commensurate, dimension, immense, incommensurable, incommensurate, measure"
ment-,mind,Latin,"comment, dement, dementia, memento, mental, mentality, mention, reminisce, reminiscence"
mer-,part,Greek,"antimere, antimeria, biopolymer, decamer, decamerous, dimer, dimeric, dimerism, dimerous, enantiomer, enneamer, heptamer, heterodimer, heterotetramer, hexamer, homodimer, homotetramer, isomer, isomeric, isomerism, mereology, merisis, merism, meristem, meristematic, meristic, meromorphic, metamere, metamerism, Moirai, monomer, monomeric, octamer, oligomer, oligomeric, pentamer, pentamerous, photopolymer, phytomer, polymer, tautomerism, telomer, telomere, tetramer, tetrameric, trimer, trimerize"
merc-,"reward, wages, hire",Latin,"amercement, commerce, commercial, market, mercantile, mercenary, mercery, merchandise, merchant, mercy, noncommercial"
"merge-, mers-","dip, plunge",Latin,"demerge, demersal, demerse, demersion, emerge, emergence, emergency, emergent, emersion, immerge, immergence, immerse, immersible, immersion, immersive, merge, reemerge, reemergence, reimmerse, submerge, submergence, submerse, submersible, submersion"
mes-,middle,Greek,"Mesolithic, mesophile, mesophilic, mesoscopic, mesosphere, mesozoic"
"met-, meta-","above, among, beyond",Greek,"metabolism, metalogic, metamorphic, metamorphosis, metaphase, metaphor, metaphysics, metastatic, meteor, method"
metall-,mine,Greek,"dimetallic, electrometallurgy, hydrometallurgy, metallic, metalloid, metallophobia, metallophone, metallurgist, metallurgy, organometallic, polymetal, polymetallic, pyrometallurgy, tetrametallic, trimetallic"
"meter-, metr-",measure,Greek,"anemometer, anemometric, antisymmetric, antisymmetry, asymmetric, asymmetry, axonometric, barometer, barometric, bathometer, chronometer, diameter, diametric, dysmetria, graphometer, hexameter, hygrometer, hygrometry, isodiametric, isometric, isoperimetric, meter, metre, metric, metrology, metronome, monosymmetric, parameter, parameterize, parametric, parametrize, pentameter,"
metr-,mother,Greek,"haplometrosis, metrocyte, metropolis, pleometrosis"
mic-,grain,Latin,"mica, micelle"
micr-,small,Greek,"microbe, microcode, microcosm, microeconomics, micrometer, microphone, microscope, microscopic"
migr-,wander,Latin,"countermigration, emigrant, emigrate, emigration, émigré, immigrant, immigrate, immigration, migrant, migrate, migration, migrational, migratory, nonmigratory, remigrant, remigrate, remigration, transmigrant, transmigrate, transmigration, transmigratory"
milit-,soldier,Latin,"militant, military, militia"
mill-,thousand,Latin,"mile, millennium, million"
millen-,thousand each,Latin,"millenarian, millenary"
mim-,repeat,Greek,"mime, mimeograph, mimesis, mimetic, mimic, necromimesis, pantomime, phenomime, psychomime, psychomimetic"
min-,jut,Latin,"eminence, eminent, imminence, imminent, preeminence, preeminent, prominence, prominent, promontory, supereminence, supereminent"
min-,"less, smaller",Latin,"administer, administration, administrative, administrator, administratrix, maladminister, maladministration, minestrone, minister, ministerial, ministerialis, ministerium, ministrant, ministrate, ministration, ministrative, ministry, minor, minority, minstrel, minstrelsy, minus, minuscule, quasiminuscule, semiminor"
mina-,lead,Latin,"amenable, demeanor, promenade"
mina-,threaten,Latin,"menace, minatory"
minth-,mint,Greek,"Acanthomintha, Mentha, menthol, mint, Minthostachys"
mir-,"wonder, amazement",Latin,"admirability, admirable, admiration, admirative, admire, marvel, marvelous, miracle, miraculous, mirage, Miranda, mirative, mirativity, mirror"
mis-,hate,Greek,"misandrist, misandry, misanthrope, misanthropy, misocainea, misogamist, misogamy, misogynist, misogyny, misoneism, misopaedia, misophonia, misotheism"
"misc-, mixt-",mix,Latin,"admix, admixtion, admixture, commix, commixture, immiscibility, immiscible, immix, immixture, intermix, intermixture, maslin, meddle, mestizo, Métis, miscellanea, miscellaneous, miscellany, miscibility, miscible, mix, mixture, permiscible, permix, permixtion, postmix, premix, promiscuity, promiscuous, remix"
miser-,"unhappy, wretched",Latin,"commiserate, commiseration, immiserate, immiseration, miser, miserable, misericord, misery"
"mit-, miss- (MIT-)",send,Latin,"admissibility, admissible, admission, admissive, admit, admittatur, admittee, commissar, commissariat, commissary, commission, commissive, commissural, commissure, commit, commitment, committal, committee, compromis, compromise, compromissary, decommission, decommit, decommitment, demise, demiss, demit, dimissory, dimit, dismiss, dismissal, dismissive, emissary, emission, emissitious, emissive, emissivity, emit, emittent, entremet, fideicommissary, fideicommissum, impermissible, inadmissibility, inadmissible, intermission, intermittent, intromissible, intromission, intromissive, intromit, intromittent, manumission, manumit, mess, message, messenger, missile, mission, missionary, missive, mittimus, noncommittal, omissible, omission, omissive, omit, permissible, permission, permissive, permissory, permit, permittee, premise, premiss, premit, pretermission, pretermit, promise, promisee, promissive, promissory, readmission, readmit, recommit, remise, remiss, remissible, remission, remissive, remissory, remit, remittal, remittance, remittee, remittence, remittent, remittitur, resubmit, retransmission, retransmit, subcommittee, submission, submissive, submit, surmise, transmissibility, transmissible, transmission, transmissive, transmit, transmittal"
mit-,thread,Greek,"mitochondrion, mitosis, mitospore"
mn-,,Greek,"mina, mna"
mne-,memory,Greek,"amnesia, amnesty, anamnesis, anamnestic, dysmnesia, Mneme, mneme, mnemonic"
mod-,"measure, change",Latin,"accommodate, accommodation, accommodative, accommodator, bimodal, bimodality, bimodular, bimodule, commode, commodification, commodious, commodity, decommodification, demodulate, demodulation, demodulator, immodest, immodesty, intermodal, intermodulation, modal, modality, mode, model, moderate, moderation, moderato, moderator, modern, modernity, modest, modesty, modicum, modification, modify, modiolus, modular, modularity, modulate, modulation, modulator, module, modulo, modulus, multimodal,"
mol-,grind,Latin,"demolition, molar"
moll-,soft,Latin,"emollience, emollient, moil, mollescence, mollescent, mollient, mollification, mollify, mollitude, mollusc, molluscicide, molluscivore, mollusk"
mon-,"alone, only",Greek,"monachism, monad, monadic, monarchy, monastery, monastic, monasticism, monatomic, monism, monist, monk, monoid, monolith, monometer, monopod, monopoly, monopsony, monotone"
mon-,warn,Latin,"admonish, admonishment, admonition, admonitor, admonitory, monition, monitor, monitory, monument, monumental, premonition, premonitory, resummon, summon"
monil-,string of beads,Latin,"monilifer, moniliform, Moniliformida"
monstra-,show,Latin,"counterdemonstration, counterdemonstrator, demonstrable, demonstrant, demonstrate, demonstration, demonstrative, demonstrator, demonstratory, indemonstrable, monster, monstrance, monstration, monstrosity, monstrous, muster, premonstrant, premonstrate, Premonstratensian, premonstration, premonstrator, remonstrance, remonstrant, remonstrate, remonstration, remonstrative"
mont-,mountain,Latin,"amount, Belmont, cismontane, dismount, insurmountable, intermontane, montage, montan, Montana, montane, montant, monticello, monticule, montiform, montigenous, mount, mountaineer, mountainous, nonremontant, paramount, piedmont, remontancy, remontant, remontoire, remount, submontane, surmount, surmountable, tantamount, tramontana, tramontane, transmontane, ultramontane, Vermont"
mor-,"foolish, dull",Greek,"moron, moronic, oxymoron, oxymoronic, sophomore, sophomoric"
mor-,"pause, delay",Latin,"demur, demure, demurrable, demurrage, demurral, demurrer, mora, moratorium, remora, remorate"
mor-,"custom, disposition",Latin,"immoral, immorality, moral, morale, morality, mores, morigerous, morose, morosity"
mord-,bite,Latin,"mordacious, mordacity, mordancy, mordant, mordent, mordente, mordicancy, mordicant, mordication, mordicative, morsel, morsitation, premorse, remorse"
morph-,"form, shape",Greek,"allomorph, amorphous, anamorph, anamorphic, anamorphism, anamorphosis, anthropomorphism, apomorphy, autapomorphy, automorphism, catamorphism, dimorphic, dimorphism, dysmorphic, dysmorphophobia, ectomorph, ectomorphic, enantiomorph, enantiomorphic, endomorph, endomorphic, epimorphism, geomorphology, hemimorphic, holomorph, holomorphic, holomorphism, homeomorphic, homeomorphism, homomorphic, homomorphism, hylomorphism, hypermorphosis, isomorphic, isomorphism, mesomorph, mesomorphic, metamorphic, metamorphism, metamorphosis, monomorphic, monomorphism, morpheme, Morpheus, morphine, morphology, morphosyntactic, morphosyntax, paramorph, peramorphism, peramorphosis, perimorph, plesiomorphy, polymorphic, polymorphism, pseudomorph, synapomorphy, teleomorph, teleomorphic, theriomorphic, trimorphic, trimorphism, zoomorph, zoomorphism"
mort-,death,Latin,"antemortem, immortal, immortality, mortal, mortality, mortician, mortiferous, mortification, mortuary"
"mov-, mot-, mut-","move, motion",Latin,"admove, amotion, amove, bimotor, cocommutator, commotion, commove, commutable, commutation, commutative, commutativity, commutator, commute, countermotion, countermove, countermovement, demote, demotion, emotion, emotional, emotive, emotivity, emove, equimomental, immobile, immutable, immutation, immute, incommutable, locomotion, locomotive, mobile, mobility, molt, moment, momental, momentaneous, momentary, momentous, momentum, motation, motif, motile, motility, motion, motional, motivate, motivation, motivational, motivator, motive, motor, moult, movant, move, movement, movent, mutability, mutable, mutate, mutation, mutineer, mutinous, mutiny, mutual, mutuality, noncommutative, noncommutativity, nonmotile, nonmotility, nonmutual, pari- mutuel, permutable, permutate, permutation, permutational, permute, promote, promotion, promotional, promotive, promotor, promove, remote, remotion, removal, remove, subpermutation, transmove, transmutable, transmutate, transmutation, transmute, transmutual, trimotor"
"mulg-, muls-",milk,Latin,emulsion
multi-,"many, much",Latin,"multilingual, multiple, multiplex, multiplication, multiplicity, multiply, multitude, multitudinous"
mund-,world,Latin,"anima mundi, antemundane, demimondaine, demimonde, extramundane, intramundane, map, mondain, mondaine, mondial, mondo, mundane, mundanity, ultramundane"
mur-,wall,Latin,"antemural, immuration, immure, immurement, intramural, murage, mural"
mus-,mouse,Greek/Latin,musophobia
musc-,fly,Latin,"Musca, muscarine, Muscicapa, Muscicapidae, Muscidae, musciform, mosquito"
mut-,change,Latin,"immutable, mutation, permutation, transmute"
my-,mouse,Greek,"amyotrophic, electromyogram, electromyograph, electromyography, endomysium, epimysium, murine, musophobia, myoelectric, myomancy, myomorphous, myomorphy, myopathy, myositis, myotome, Nectomys, Oryzomys, perimysium, Sigmodontomys"
my-,shut (the eyes),Greek,"miosis, myopia, myopic, myosis, mystery"
mycet-,fungus,Greek,"ascomycete, basidiomycete, mycology, Mycoplasma, zygomycete, zygomycosis"
mydr-,dilate,Greek,mydriasis
myel-,marrow,Greek,"amyelia, myeloblast, myelocyte, myelogenous, myeloid, myelopoiesis, poliomyelitis"
myl-,mill,Greek,"amyloid, amyloidosis, amylolysis, amylopectin, amylophagia, amyloplast, amylose, amylum"
myo-,muscle,Greek,leiomyoma
myri-,"countless, ten thousand",Greek,"myriad, myriagon, myriagram, myriapod, myriapodology"
myrmec-,ant,Greek,"myrmecochory, myrmecoid, myrmecology, myrmecophobia, Myrmidons, myrmomancy"
mys-,uncleanness,Greek,"mysophilia, mysophobia"
myth-,story,Greek,"mythic, mythology, mythomania, mythopoeia, mythos"
myx-,slime,Greek,"match, myxedema, myxoedema, Myxini, myxogastrid"
myz-,suck,Greek,Myzopoda
nap-,turnip,Latin,"napiform, neep"
nar-,nostril,Latin,"internarial, nares, narial, naris, prenarial"
narc-,numb,Greek,"narcolepsy, narcosis, narcotic"
narr-,tell,Latin,"counternarrative, inenarrable, narration, narrative, narrator"
nas-,nose,Latin,"intranasal, nasal, nasalance, nasalis, nasality, nasolabial, nonnasal"
"nasc-, nat-",born,Latin,"adnascent, adnate, adnation, agnate, agnatic, agnation, binational, cognate, cognatic, cognation, connascence, connascent, connate, connation, connatural, denature, enascent, enate, enatic, enation, impregnate, innate, international, multinational, nada, naïf, naissant, naïve, nascency, nascent, natal, natality, nation, national, nationality, native, nativity, natural, naturality, nature, née, nonnative, postnatal, pregnancy, pregnant, prenatal, preternatural, renaissance, renaissant, renascence, renascent, renature, subnational, supernatural, supranational, transnational, transnationality"
naut-,ship,Greek,"aeronautic, Argonaut, astronaut, cosmonaut, nausea, nautical, nautilus"
nav-,ship,Latin,"antenave, naval, nave, navicular, navigable, navigate, navy, nonnavigable"
ne-,"spin, thread",Greek,"axoneme, diplonema, leptonema, nematocyst, nematocyte, nematode, nematology, pachynema, synnema, treponema, zygonema"
"ne-, neo-",new,Greek,"Neolithic, neologism, neon, neonate, neophyte"
"neb-, nub-",cloud,Latin,"nebula, nebular, nebulosity, nebulous, nuance, nubilous, obnubilate"
necr-,dead,Greek,"necromancy, Necronomicon, necrophilia, necrophobia, necropolis, necropsy, necrosis, necrospermia, necrotic, necrotize, necrotomy"
nect-,swimming,Greek,"nectopod, nekton"
"nect-, nex-","join, tie",Latin,"adnexum, annectent, annex, annexation, annexion, connect, connexion, deannexation, disconnect, interconnect, nexus, reconnect"
neg-,say no,Latin,"negative, renegade, renege"
"nem-, nom-","arrangement, law",Greek,"anomie, anomy, antinome, antinomic, antinomy, archnemesis, autonomy, isonomy, metronomic, nemesis, nomad, nomadic, nomadism, nomadize, nomarch, nomarchy, nome, nomology, nomothetic, Numidia, numismatics"
nemat-,hair,Greek,"nematocyst, nematocyte, nematode, nematology"
nemor-,"grove, woods",Latin,"nemoral, nemorous"
nephr-,kidney,Greek,"mesonephric, mesonephros, metanephridium, metanephros, nephridiopore, nephridium, nephrite, nephritis, nephrogenesis, nephrolith, nephrolithiasis, nephrologist, nephrology, nephron, nephroptosis, nephrostome, pronephros, protonephridium"
nerv-,"sinew, nerve",Latin,"enervate, enervation, enervative, innervate, innervation, nerval, nervate, nerve, nervose, nervosity, nervous, reinnervation, trinervate"
nes-,island,Greek,"Chersonesus, Indonesia, Melanesia, Micronesia, Peloponnese, Polynesia"
neur-,"nerve, sinew",Greek,"aponeurosis, endoneurium, epineurium, neural, neurapraxia, neurasthenia, neuritis, neuroblast, neuroblastoma, neurocranium, neurocyte, neuroendocrine, neuroendocrinology, neurologic, neurologist, neurology, neuromorphology, neuron, neurone, neuropathic, neuropathology, neuropathy, neuroplastic, neurosis, neurosurgeon, neurosurgery, neurotic, neuroticism, perineurium, polyneuropathy"
nict-,"beckon, wink",Latin,"nictate, nictation, nictitate, nictitation"
nigr-,black,Latin,"denigrate, denigration, denigrative, denigrator, negrita, negrito, negritude, nigrescence, nigrescent, nigrine, nigrities, nigritude"
nihil-,nothing,Latin,"annihilate, annihilation, annihilator, nihil, nil"
niv-,snow,Latin,"Nevada, névé, nival, nivation, niveus, subnival, subnivean"
noc-,"hurt, harm",Latin,"innocence, innocent, innocuity, innocuous, innoxious, nocebo, nocent, nociception, nociceptive, nocifensor, nocument, nocuous, noxious, nuisance, obnoxious"
noct-,night,Latin,"equinoctial, equinox, noctambulous, noctiluca, noctilucent, noctule, nocturn, nocturnal, nocturnality, nocturne, notturno, seminocturnal, trinoctial"
nod-,knot,Latin,"acnode, binodal, crunode, denouement, extranodal, internodal, internode, intranodal, multinodal, nodal, node, nodose, nodosity, nodular, nodulation, nodule, nodulose, nodulus, nodus, supernode, tacnode, trinodal, uninodal"
nom-,"arrangement, law, order",Greek,"agronomy, antinomy, astronomy, autonomous, autonomy, bionomics, economics, economy, gastronomy, metronome, numismatic, polynomial, taxonomy"
nomad-,those who let pasture herds,Greek,"nomad, nomadic, nomadism, nomadize"
"nomen-, nomin-",name,Latin,"agnomen, agnominal, agnomination, binomen, binominal, denomination, denominational, denominative, denominator, ignominious, ignominy, innominate, innomine, interdenominational, multidenominational, multinominal, nomenclator, nomenclature, nominal, nominate, nomination, nominative, nominator, nominee, nondenominational, noun, postnominal, praenomen, prenominal, pronominal, pronoun, redenomination, renominate, renown, surnominal, trinomen, trinominal"
non-,not,Latin,"none, nonexistent, non-fiction, noninvasive"
non-,ninth,Latin,"nonary, None, nonet, noon"
nonagen-,ninety each,Latin,"nonagenarian, nonagenary"
nonagesim-,ninetieth,Latin,nonagesimal
norm-,carpenter's square,Latin,"abnormal, abnormality, binormal, circumnormal, denormal, enormity, enormous, nonnormal, nonnormative, norm, normable, normal, normality, normative, quasinorm, seminorm, seminormable, seminormal, subnormal"
not-,south,Greek,"Notogaea, Notomys, Nototherium"
not-,back,Greek,notochord
not-,"letter, mark, note",Latin,"annotate, annotation, annotator, connotation, connotational, connotative, connote, denotation, denotational, denotative, denotatum, denote, nondenotative, nonnotable, nonnotational, notability, notable, notarial, notariat, notary, notate, notation, notational"
noth-,spurious,Greek,nothogenus
"nov-, nome-, non-, novem-",nine,Latin,"November, novennial, Nonillion, Nomedecillion"
nov-,new,Latin,"innovate, innovation, innovational, innovative, innovator, innovatory, nova, novation, novel, novella, novelty, novice, novitiate, renovatable, renovate, renovation, renovative, renovator, supernova"
noven-,nine each,Latin,"Novena, novenary"
novendec-,nineteen,Latin,novemdecillion
nox-,harm,Latin,"noxious, obnoxious"
nu-,nod,Latin,"circumnutate, circumnutation, counternutation, innuendo, innuent, numen, numinous, nutant, nutation"
"nub-, nupt-","to marry, to wed",Latin,"connubial, connubiality, nubile, nuptial, postnuptial, prenuptial"
nuc-,nut,Latin,"enucleate, enucleation, extranuclear, internuclear, intranuclear, multinucleate, nougat, nucament, nucellar, nucellus, nucifer, nuciferine, nuciferous, nuciform, Nucifraga, nucivorous, nuclear, nucleate, nucleation, nucleolar, nucleolate, nucleolus, nucleus, pronuclear, pronucleus, supranuclear"
nuch-,back of neck,Latin,nuchal cord
nud-,naked,Latin,"denudation, denude, nonnude, nude, nudist, nudity, seminude, seminudity"
null-,none,Latin,nullify
numer-,number,Latin,"denumerable, enumerable, enumerate, enumeration, enumerative, enumerator, equinumerant, equinumerous, innumerable, innumeracy, innumerate, innumerous, nonenumerative, numerable, numeracy, numéraire, numeral, numerary, numerate, numeration, numerative, numerator, numerical, numero, numerosity, numerous, renumerate, supernumerary"
nunci-,announce,Latin,"announce, announcement, annunciation, denounce, denouncement, denunciation, enounce, enouncement, enunciable, enunciate, enunciation, enunciative, internuncial, internuncio, nunciature, nuncio, obnounce, pronounce, pronouncement, pronunciation, pronuntiatio, renounce, renouncement, renunciation"
nutri-,nourish,Latin,"innutrition, malnourish, malnourishment, malnutrition, nonnutritional, nourish, nourishment, nurse, nurturance, nurture, nutrient, nutriment, nutrition, nutritional, nutritious"
nyct-,night,Greek,"nyctalgia, nyctanthous, nyctinasty, nyctophilia, nyctophobia"
nyst-,nod,Greek,"electronystagmography, nystagmic, nystagmus"
"ob-, o-, oc-, of-, og-, op-, os-",against,Latin,"obduracy, obdurate, obduration, obfuscate, oblique, obliquity, obstinate, obstreperous, occur, offend, omit, oppose, ostensible, ostentatious"
obel-,"spit, nail",Greek,"metobelus, obelisk, obelism, obelus"
obol-,nail,Greek,"obol, obolus"
ocean-,"river, stream",Greek,"Oceania, oceanic"
ochl-,"crowd, mob",Greek,"enochlophobia, ochlocracy, ochlophobia"
oct-,eight,Greek,"hemi-octahedron, octad, octadic, octagon, octahedron, octameter, octode"
oct-,eight,Latin,"octangular, octennial, octovir"
octav-,eighth,Latin,octaval
octogen-,eighty each,Latin,"octogenarian, octogenary"
octogesim-,eightieth,Latin,octogesimal
octon-,eight each,Latin,octonary
ocul-,eye,Latin,"ocular, oculus, ullage"
od-,"path, way",Greek,"anode, diode, odometer, parodos, pentode, tetrode, triode"
odi-,hate,Latin,odious
odont-,tooth,Greek,"anodontia, conodont, cynodont, dicynodont, dysodontiasis, macrodontia, mastodon, odontoid, odontology, odontophore, orthodontics, orthodontist, pedodontics, periodontal, smilodon, Thrinaxodon, Zanclodon"
odor-,fragrant,Latin,"malodorous, odoriferous, odorous"
odyn-,pain,Greek,"allodynia, anodyne, glossodynia, mastodynia, pleurodynia"
oec-,house,Greek,"andromonecy, archdiocese, autoecious, autoecism, dioecious, dioecy, ecesis, ecologist, ecology, economics, economist, economize, economy, ecoregion, ecosystem, ecumenic, ecumenism, gynomonoecy, heteroecious, heteroecism, heteroecy, homoecious, monoecious, monoecy, oecology, oeconomus,"
"oed-, ed-","swell, swollen",Greek,"angioedema, edema, edematous, oedema, oedematous"
oen-,wine,Greek,"enology, oenochoe, oenologist, oenology, oenophile, oenophilia, oinochoe"
oesophag-,gullet,Greek,"oesophagectomy, oesophagitis, oesophagus"
oestr-,"gadfly, sting",Greek,"anestrous, anestrus, anoestrus, estrogen, estrogenic, estrus, oestrone, oestrus"
ogdo-,eighth,Greek,ogdoad
-oid,like,Greek,"asteroid, mucoid, organoid"
ole-,oil,Latin,oleosity
olecran-,skull of elbow,Latin from Greek,olecranon
olig-,few,Greek,"oligarchy, Oligocene, oligopoly, oligosaccharide, oligotrophic"
oliv-,olive,Latin,"olivaceous, olivary, olivette"
om-,raw,Greek,"omophagia, Omophagus"
om-,shoulder,Greek,"acromion, omohyoid, omophorion"
-oma,"morbid growth, tumor",Greek,melanoma
omas-,paunch,Latin,"abomasum, omasum"
ombr-,rain,Greek,"ombrogenous, ombrology, ombrometer, Ombrophila, ombrophilous, ombrophobe, ombrotrophic"
oment-,fat skin,Latin,omental
omin-,creepy,Latin,"abominable, ominous"
ommat-,eye,Greek,"ommatidium, ommatophore"
omni-,all,Latin,"omnipotence, omnipresent, omniscient, omnivore"
omphal-,navel,Greek,"omphalectomy, omphalic, omphalopagus, omphalophobia, paromphalocele"
on-,ass,Greek,"Oniscidea, Oniscomorpha"
onc-,"barb, hook",Greek,"Oncinocalyx, Oncorhynchus"
onc- (ΕΓΚ),bulk,Greek,"oncocyte, oncocytoma, oncogenesis, oncologist, oncology"
oneir-,dream,Greek,"oneiric, oneirism, oneirocritic, Oneirocritica, Oneirodidae, oneirogen, oneirogenic, Oneiroi, oneiroid, oneirology, oneiromancy, oneironaut, oneironautics, oneirophobia, oneirophrenia, oneiroscopy"
oner-,"burden, load",Latin,"exonerate, exoneration, onerous, onus"
oni-,price,Greek,"oniochalasia, oniomania, oniomaniac"
onomat-,name,Greek,"antonomasia, onomasiology, onomastic, onomasticon, onomastics, onomasty, onomatology, onomatophore, onomatopoeia"
ont-,"being, existence",Greek,"dysontogenesis, homoiousia, homoousia, monoousious, ontogenesis, ontogenetic, ontogeny, ontology, ousia, parousia"
onych-,claw,Greek,"hapalonychia, Mesonychia, onychectomy, onycholysis, onychomancy, onychomycosis, onychophagia, onychophagy, onychorrhexis, onyx, paronychia, sardonyx"
onym-,name,Greek,"acronym, allonym, anonymous, antonym, autonym, caconym, cryptonym, eponym, eponymous, eponymy, euonym, homonym, hyperonym, hyponym, hyponymy, meronym, meronymy, metonym, metonymy, metronymic, paronym, paronymous, pseudonym, pseudonymous, synonym, synonymous, synonymy, tautonym, tautonymous, tautonymy, troponym, troponymy, xenonym, xenonymy"
oo-,egg,Greek,"bottarga, dioon, epoophoron, oidioid, oidium, ooblast, oocyst, oocyte, oocytogenesis, oogamete, oogamous, oogamy, oogenesis, oogonium, ooid, oolite, oolith, oology, oomancy, oophagy, oophorectomy, oophoron, ootheca, ootid, ootidogenesis, paroophoron"
op-,hole,Greek,"metope, opaion"
opac-,shady,Latin,"opacity, opacus, opaque"
oper-,work,Latin,"cooperate, inoperable, opera, operate, opus"
oper-,cover,Latin,"interoperculum, kerchief, opercular, operculiform, operculum"
ophi-,snake,Greek,"Brachyurophis, ophicephalous, Ophicephalus, Ophiceras, Ophiclinus, ophidiophobia, ophiolite, ophiologist, ophiology, ophiophagous, Ophiophagus, ophiophagy, ophiophobia, Ophisaurus, Ophisops, ophitic"
ophthalm-,eye,Greek,"exophthalmic, exophthalmos, microphthalmia, ophthalmia, ophthalmic, ophthalmologic, ophthalmologist, ophthalmology, ophthalmoparesis, ophthalmoplegia, parophthalmia, xerophthalmia"
opisth-,behind,Greek,"anopisthograph, opisthion, opisthobranch, opisthodomos, opisthoglyphous, opisthognathous, opisthograph, opisthokont, opisthosoma, opsimath, opsimathy"
"ops-, opt- (ΟΠ)",eye,Greek,"amblyopia, anopia, autopsy, biopsy, catadioptrics, catoptrics, catoptromancy, catoptrophobia, cyclops, diopter, dioptre, dioptrics, diplopia, eisoptrophobia, emmetropia, hemianopsia, myopia, opsoclonus, optic, optokinetic, panopticon, pleoptics, synopsis, synoptic, tritanopia"
opsi-,late,Greek,opsimath
opson-,"cook, prepare for eating",Greek,"opsonin, opsonoid"
opt-,choose,Latin,"adopt, adoptee, adoption, adoptive, co- option, coopt, cooptation, nonoptional, opt, optation, optative, option, optional, optionality"
optim-,best,Latin,"optimal, optimum"
"or-, oro-",mountain,Greek,"Oread, orogenesis, orogenic, orogeny, orographic, orography, oronym"
or-,mouth,Latin,"adosculation, inosculate, inosculation, interosculate, intraoral, oral, orifice, osculant, osculum, peroral"
ora-,"pray, plead",Latin,"adore, adoration, exorable, inexorable, oracle, orate, oration, orator, oratorio, oratory, orison, perorate, peroration, perorator"
orb-,circle,Latin,orbit
orch-,testicle,Greek,"anorchia, cryptorchidism, monorchism, orchid, orchiectomy, orchiopexy, Orchis, polyorchidism"
orches-,dance,Greek,orchestra
ordin-,order,Latin,"coordinal, coordinate, coordination, coordinator, disorder, extraordinaire, extraordinary, grandorder, incoordinate, incoordination, infraorder, inordinate, inordination, insubordinate, insubordination, magnorder, mirorder, ordain, ordainment, order, ordinal, ordinance, ordinand, ordinariate, ordinary, ordinate, ordination, ordinative, ordnance, ornery, parvorder, preordain, preorder, preordination, quasiorder, reordain, reorder, reordination, suborder, subordinary, subordinate, subordination, superordain, superorder, superordinate, superordination"
oreg-,reach,Greek,"anorectic, anorexia, dysorexia, orectic, orexin, parorexia"
org-,work,Greek,orgasm
organ-,"organ, instrument, tool",Greek,"organic, organism, organogenesis"
"ori-, ort-",rise,Latin,"aboriginal, abort, abortifacient, abortion, abortive, disorient, disorientation, orient, oriental, Orientalia, orientate, orientation, orientational, orientative, origin, original, originality, originate, origination, originator, reorient, reorientation"
orn-,decorate,Latin,"adorn, adornment, ornament, ornamental, ornamentation, ornate, ornative, ornature, suborn, subornation"
ornith-,bird,Greek,"Avernus, ornithology, ornithomancy, ornithorhynchus, ornithosis"
orphan-,,Greek,orphan
orth-,straight,Greek,"orthocenter, orthocentric, orthodontia, orthodontic, orthodontist, orthodox, orthodoxy, orthographic, ortholog, orthologous, orthonym, orthopedic, orthoscope, orthosis, orthostat, orthostyle, orthotic"
oryz-,rice,Greek,"Oryza, Oryzomys, rice, risotto"
oscill-,swing,Latin,"oscillate, oscillation, oscillator, oscillatory"
osm-,odor,Greek,"anosmia, anosmic, cacosmia, coprosmia, dysosmia, dysosmic, euosmia, hyperosmia, hyperosmic, hyposmia, hyposmic, osmium, osmolagnia, osmophobia, osphresiolagnia, parosmia, phantosmia, troposmia"
osm-,"push, thrust",Greek,"osmometry, osmosis, osmostat, osmotic"
oss-,bone,Latin,"exossation, interosseous, ossature, osselet, osseocartilaginous, osseointegration, osseous, ossicle, ossicular, ossiferous, ossification, ossifrage, ossify, ossuary"
oste-,bone,Greek,"dysostosis, endosteum, exostosis, hyperostosis, monostotic, Osteichthyes, osteoarthritis, osteoblast, osteochondritis, osteochondrosis, osteoclast, osteogenic, osteogenesis, osteoid, osteology, osteolysis, osteoma, osteomalacia, osteonecrosis, osteopathy, osteopenia, osteoporosis, osteosarcoma, osteosis, osteothrombosis, osteotome, osteotomy, periosteum, synostosis"
osti-,entrance,Latin,"ostiary, ostiolar, ostiole, ostium"
ostrac-,shell,Greek,"Entomostraca, Leptostraca, Malacostraca, ostracism, ostracize, ostracod, ostracoderm, ostracon, periostracum"
ostre-,oyster,Greek,"ostreophagist, oyster"
ot-,ear,Greek,"anotia, Aotus, microtia, Myosotis, otalgia, otic, otitis, otocephaly, otocleisis, otoconium, otocyst, otodynia, otolith, otology, otopathy, otophyma, otoplasty, otorhinology, otorrhea, otosclerosis, otoscope, otoscopy, ototomy, parotic, parotid, periotic, synotia"
ov-,egg,Latin,"obovate, oval, ovarian, ovariole, ovary, ovate, ovicapsule, ovicidal, ovicide, oviduct, oviferous, oviform, oviposition, ovipositor, ovolo, ovular, ovulation, ovulatory, ovule, ovum, pluriovulate"
ovi-,sheep,Latin,"ovile, ovine"
