root,meaning,origin,sample_words
"con-, co-, col-, com-, cor-","with, together",Latin,"coagulate, collide, compress, connect, connote, contain, contribute, consult, constitution, corrode, quondam"
con-,cone,Greek,"conic, conical, conicoid, conodont, conoid, conoscope, orthocone, orthoconic, polyconic"
condi-,season,Latin,condiment
contra-,against,Latin,"contraband, contraception, contradict, contraindicate, contrast, contravene"
copi-,plenty,Latin,"copious, copy, cornucopia"
copr-,dung,Greek,"copremia, coprographia, coprolagnia, coprolalia, coprolite, coprolith, coprology, coprophagia, coprophagy, coprophilia, copropraxia, encopresis, encopretic"
copul-,bond,Latin,"copula, copulation, couple"
"cor-, cord-",heart,Latin,"accord, accordance, accordant, accordatura, concord, concordance, concordant, concordat, corcle, cordate, cordial, cordiality, cordiform, core, courage, courageous, discord, discordance, discordant, discourage, discouragement, encourage, encouragement, misericord, nonaccordant, obcordate, record, scordatura"
corac-,raven,Greek,coracoid
cori-,"hide, leather",Latin,"coriaceous, corious, corium, cuirass, cuirassier, cuirie, excoriate, excoriation"
corn-,horn,Latin,"bicorn, bicorne, Capricorn, cornea, corneal, corneous, corner, cornicle, corniculate, corniferous, cornification, corniform, cornucopia, quadricorn, quadricornous, tricorn, tricorne, tricornigerous, tricornute, unicorn, unicornous"
coron-,crown,Latin,"corona, coronation, coronavirus, coroner, coronet, coroniform, Coronilla, crown, incoronate"
corpor-,body,Latin,"accorporate, bicorporal, concorporate, concorporation, corporal, corporality, corporate, corporation, corporative, corporature, corporeal, corporeality, corporeity, corps, corpse, corpulence, corpulent, corpus, corpuscle, corpuscular, disincorporate, disincorporation, extracorporeal, incorporal, incorporality, incorporate, incorporation, incorporeal, incorporeality, incorporeity, tricorporal"
cortic-,bark,Latin,"cortex, cortical, corticate, corticiform, corticifugal, corticipetal, decorticate, decortication, decorticator"
cosm-,universe,Greek,"cosmic, cosmogeny, cosmogony, cosmology, cosmonaut, cosmopolitan, cosmopolite, cosmos, microcosm"
cosmet-,the art of dress and ornament,Greek,"cosmesis, cosmetics, cosmetologist, cosmetology"
cost-,rib,Latin,"accost, bicostate, coast, coastal, costa, costal, costate, curvicostate, entrecôte, infracostal, intercostal, intracoastal, multicostate, quadricostate, supracostal, tricostate, unicostate"
cotyl-,cup,Greek,"cotyledon, dicotyledon, dicotyledonous, eudicotyledon, monocotyledon, monocotyledonous, tricotyledonous"
"-cracy, -crat","government, rule, authority",Greek,"acrasia, akrasia, akratic, anocracy, aristocracy, autocracy, autocrat, autocratic, bureaucracy, democracy, democratic, pancratium, plutocracy, technocracy, technocrat, theocracy"
crani-,skull,Greek,"craniologist, craniometry, craniosynostosis, cranium, hemicrania, megrim, migraine"
crass-,thick,Latin,"crass, crassitude, crassulaceous"
crea-,make,Latin,"creation, creative, creator, creature, creole, procreation, recreation"
cred-,"believe, trust",Latin,"accreditation, credence, credentials, credibility, credible, credit, creditor, credo, credulity, credulous, creed, discredit, incredible, incredulous, miscreant, recreant"
crepid-,"boot, shoe",Greek,crepidoma
cresc-,"grow, rise",Latin,"accresce, accrescence, accrescent, accrete, accretion, accrue, concrete, crescendo, crescent, crew, decrease, increase, recruit, recruitment, surcrew"
cribr-,sieve,Latin,"cribble, cribellate, cribellum, cribrate, cribriform, garble"
cric-,ring,Greek,"cricoid, cricoidectomy, Cricosaurus, cricothyroid, cricothyrotomy, cricotomy"
crisp-,curled,Latin,"crape, crepe, crêpe, crisp, crispate, crispation"
crist-,crest,Latin,"crease, crest, cristate"
"crit-, crisi-","judge, separate",Greek,"apocrine, crisis, criterion, critic, critical, criticaster, criticise, criticism, critique, diacritic, eccrine, eccrinology, eccrisis, eccritic, endocrine, endocrinology, exocrine, heterocrine, holocrine, hypercriticism, hypocrisy, hypocrite, kritarchy, Kritosaurus, merocrine, syncrisis"
cross-,"fringe, tassel",Greek,Crossopterygii
cruc-,cross,Latin,"cross, crucial, cruciate, crucifer, cruciferous, crucifix, crucifixion, cruciform, crucify, crucigerous, cruise, crusade, cruzeiro, discruciate, excruciate, intercross, recross"
crur-,"leg, shank",Latin,"bicrural, crural, crus, equicrural"
cry-,cold,Greek,"cryoablation, cryo-adsorption, cryobacterium, cryobiology, cryobot, cryochemistry, cryoelectronics, cryogenics, cryomicroscopy, cryoneurolysis, cryonics, cryopreservation, cryoprotectant, cryosphere, cryosurgery, cryotherapy, cryovolcano"
-cry,"wail, shriek",Latin,"cry, decry, descry"
crypt-,"hide, hidden",Greek,"apocrypha, apocryphal, archaeocryptography, crypt, cryptanalysis, crypteia, cryptic, cryptobiosis, cryptobiotic, cryptochrome, cryptogam, cryptogenic, cryptography, cryptology, cryptomonad, cryptophyte, cryptosystem, grot, grotesque, grotto"
cten-,comb,Greek,"ctenidium, ctenoid, Ctenophora"
cub-,cube,Greek,"cubic, cuboctahedron, cuboid, hemicube, hypercube"
cub-,lie,Latin,"incubation, succuba"
culin-,kitchen,Latin,"culinarian, culinary, kiln"
culp-,"blame, fault",Latin,"culpability, culpable, culprit, exculpate, exculpatory, inculpable, inculpate, inculpatory, mea culpa"
cune-,wedge,Latin,"coign, coigne, coin, cuneate, cuneiform, cuneus, encoignure, obcuneate, precuneus, quoin, sconcheon, scuncheon"
cur-,care for,Latin,"accuracy, accurate, assecure, assurance, assure, curability, curable, curacy, curate, curative, curator, cure, curettage, curette, curio, curiosity, curious, ensure, inaccuracy, inaccurate, incurable, insecure, insecurity, insurability, insurable, insurance, insure, manicure, pedicure, pococurante, proctor, proctour, proctorage, proctorial, procurable, procuracy, procuration, procurator, procure, procurement, proxy, reassurance, reassure, reinsurance, reinsure, scour, scourage, secure, security, sinecural, sinecure, sure, surety"
"curr-, curs-","run, course",Latin,"concur, concurrent, corridor, courier, course, currency, current, cursive, cursor, cursory, discourse, excursion, incur, occur, recur, recursion, recursive, succor"
curv-,bent,Latin,"cavort, curb, curvaceous, curvate, curvation, curvature, curve, curviform, curvilinear, curvity, incurvate, incurvature, incurve, recurvate, recurve, recurvous"
cuspid-,"lance, point",Latin,"bicuspid, bicuspidate, cusp, quadricuspid, tricuspid"
cut-,"hide, skin",Latin,"cutaneous, cuticle, cuticolor, cuticular, cutin, cutis, cutisector, intracutaneous, subcutaneous"
cyan-,blue,Greek,"anthocyanin, cyanic, cyanide, cyanogen, cyanophobia, cyanophore, cyanosis, cyanotic, isocyanic"
cycl-,circle,Greek,"acyclic, anticyclone, anticyclonic, bicycle, cycle, cyclic, cyclide, cycloid, cyclone, cyclops, cyclosis, cyclotomic, dicyclic, eccyclema, epicycle, epicycloid, hemicycle, hemicyclium, heterocyclic, homocyclic, hypercycle, hypocycloid, isocyclic, mesocyclone, monocyclic, polycyclic, pseudocyclosis, tetracyclic, tricycle, tricyclic, unicycle"
cylind-,roll,Greek,"cylinder, cylindric, cylindroid, cylindroma, pseudocylindric"
cyn-,dog,Greek,"cynic, cynicism, cynodont, cynology, cynophagy, cynophilia, cynophobia, Cynosaurus, cynosure, eucynodont"
cyst-,capsule,Greek,"cysteine, cystic, cysticercus, cystine, cystolith, cystoma, oocyst, polycystic"
cyt-,cell,Greek,"astrocyte, cnidocyte, cytapheresis, cytaster, cytokine, cytokinesis, cytokinin, cytology, cytoplasm, cytostasis, cytostatic, exocytosis, gonocyte, hypercytosis, leukocyte, leukocytosis, monocyte, monocytopoiesis, pancytopenia, phagocytosis, polycythaemia, polycythemia, syncytium"
"da-, dida- (ΔΑ)",learn,Greek,"autodidact, Didache, didact, didactic, didacticism"
dacry-,tear,Greek,"dacryoadenitis, Dacryphilia"
dactyl-,"digit, finger, toe",Greek,"anisodactyly, antidactylus, arachnodactyly, artiodactyl, brachydactyly, clinodactyly, dactyl, dactylic, dactylology, dactylomancy, dactylomegaly, dactylus, dactyly, date, didactyly, ectrodactyly, heterodactylous, heterodactyly, leptodactylous, monodactyly, oligodactyly, pamprodactyly, pentadactyl, pentadactylous, pentadactyly, perissodactyl, polydactyly, pterodactyl, schizodactyly, syndactylous, syndactyly, tetradactylous, tetradactyly, tridactyly, zygodactyly"
dam- (ΔΑΜ),tame,Greek,"adamant, adamantine, adamantinoma, Damian"
"damn-, -demn-",to inflict loss upon,Latin,"condemn, condemnation, damage, damnation, indemnify, indemnity"
de-,bind,Greek,"arthrodesis, asyndeton, desmid, desmitis, desmoid, desmoplasia, desmosome, diadem, plasmodesma, polysyndeton, syndesis, syndesmosis, syndetic, syndeton"
de-,"down, away from, removing",Latin,"decay, decide, declare, decline, decompose, dedicate, deduce, defend, deletion, delineate, delude, demarcate, dementia, depress, derogatory, desecrate, descend, destroy, detract"
deb-,owe,Latin,"debit, debt"
dec-,ten,Latin from Greek,"decad, decade, decagon, decagram, decahedron, Decalogue, decamer, decamerous, decameter, decapod, decathlon"
decim-,tenth part,Latin,"decimal, decimate, decimation, decimator, decuman, dime"
decor-,ornament,Latin,"decor, décor, decorament, decorate, decoration, decorative, decorator, decorous, decorum, redecorate"
del-,erase,Latin,"delete, deletion, indelible"
delt-,"D, d",Greek,"delta, deltoid, deltahedron"
"dem-, dom-",build,Greek,"apodeme, monodomy, opisthodomos, polydomy"
dem-,people,Greek,"Damocles, demagogue, deme, democracy, demographic, demography, demonym, demophobia, demotic, ecdemic, endemic, epidemic, epidemiology, pandemic"
den-,ten each,Latin,"denar, denarian, denarius, denary, denier, dinar, dinero, dinheiro"
dendr-,tree,Greek,"dendric, dendrite, dendrochronology, dendrogram, dendromancy, Epidendrum, rhododendron"
dens-,thick,Latin,"condensable, condensate, condensation, condensational, condensative, condense, dense, density, nondense, superdense"
dent-,tooth,Latin,"bident, bidental, dandelion, dental, dentary, dentate, dentation, dentelle, denticity, denticle, denticulate, dentiferous, dentiform, dentifrice, dentigerous, dentil, dentin, dentinal, dentine, dentition, denture, indent, indentation, indenture, interdental, interdentil, intradental, multidentate, quadridentate, trident, tridentate"
der-,skin,Greek,"Dermaptera, dermatology, dermis, ectoderm, endoderm, epidermis, hypodermic, mesoderm, scleroderma, taxidermy, xeroderma"
despot-,master,Greek,"despot, despotic, despotism"
deuter-,second,Greek,"deuteragonist, deuteranomaly, deuteranopia, deuteride, deuterium, deuterogamist, deuterogamy, Deuteromycota, deuteron, Deuteronomy, deuterostome"
dexi-,right,Greek,Dexiarchia
dexter-,right,Latin,"ambidexterity, ambidextrous, dexter, dexterity, dexterous, dextral, dextrality, dextrin, dextrorse, dextrose"
di-,two,Greek,"diatomic, dicot, digamy, diode, dipole"
dia-,"apart, through",Greek,"deacon, diagram, dialysis, diameter"
"div-, diff-",different,Latin,"different, divergence, diversity, divide, diffeomorphism"
diacosi-,two hundred,Greek,"diacosigon, diacosipentecontaheptagon"
"dic-, dict-","say, speak, proclaim",Latin,"benediction, contradict, dictate, dictation, dictator, diction, dictionary, dictum, edict, indictment, interdiction, malediction, predict, prediction, valediction, verdict"
dida-,teach,Greek,"autodidact, Didache, didact, didactic"
digit-,finger,Latin,"bidigitate, digit, digital, digitate, digitiform, digitigrade, multidigit, multidigitate"
din-,"terrible, fearfully great",Greek,dinosaur
dipl-,twofold,Greek,"diploblasty, diploid, diploidy, diploma, diplomacy, diplomat, diplomatic, diplomatics, diplonema, diplophase, diplopia, diplosis, diplotene, haplodiploid, haplodiploidy"
do- (ΔΟ),give,Greek,"anecdote, antidoron, antidote, apodosis, dose"
"doc-, doct-",teach,Latin,"docile, doctor, doctrine, document, indoctrinate, indoctrination"
dodec-,twelve,Greek,"dodecagon, dodecahedron, Dodecanese, dodecaphony, dodecastyle, dodecasyllabic, hemidodecahedron"
"dog-, dox-","opinion, tenet",Greek,"dogma, dogmatic, dogmatism, doxology, heterodox, orthodox, paradox"
dol-,pain,Latin,"condolence, dol, doleful, dolorous, indolence"
dom-,house,Latin,"dame, domal, dome, domestic, domesticate, domestication, domesticity, domestique, domicile, domiciliary, major-domo, semidome"
domin-,master,Latin,"beldam, beldame, belladonna, codomain, codominance, codominant, condominium, dam, dame, damsel, danger, demesne, demoiselle, domain, dominance, dominant, dominate, domination, dominative, dominator, dominatrix, domine, domineer, dominicide, dominion, dominium, domino, duenna, dungeon, madam, madame, mademoiselle, madonna, predominance, predominant, predominate, quasidominance, semidominance, subdominant, superdominant"
domit-,tame,Latin,"daunt, domitable, indomitable"
don-,give,Latin,"condonation, condone, donate, donation, donative, donator, donatory, donor, pardon, pardonable"
dorm-,sleep,Latin,"dormant, dormitory"
dors-,back,Latin,"disendorse, dorsal, dorsiferous, dorsiflexion, dorsiflexor, dorsigrade, dorsiventral, dorsum, dossier, endorse, endorsee, endorsement, indorse, indorsement, reredos"
dra-,do,Greek,"dramatic, dramaturgy, drastic, melodramatic, monodrama"
drac-,dragon,Latin,"Draco, draconian"
drach-,grasp,Greek,"didrachm, drachm, drachma, dram, tetradrachm"
"dram-, drom- (ΔΡΑΜ)",run,Greek,"aerodrome, anadromous, antidromic, catadromous, diadromous, dromaeosaurid, heterodromous, hippodrome, loxodrome, monodromy, palindrome, syndrome"
dros-,dew,Greek,"drosometer, Drosophila"
dry-,tree,Greek,"dryad, dryadic, hamadryad"
du-,two,Latin,"deuce, doubt, dual, duality, duet, duo, duplex, duplicity, duumvirate, duumviri, nonduality"
dub-,doubtful,Latin,"doubt, dubiety, dubious"
"duc-, duct-",lead,Latin,"abduce, abduct, adduce, adduct, conduce, deduce, induce, introduce, produce, reduce, seduce, traduce"
dulc-,sweet,Latin,"billet-doux, dolce, dolcetto, douce, doux, dulcet, dulcian, dulcify, dulcimer, edulcorant, edulcorate, subdulcid"
dur-,hard,Latin,"dour, dura, durability, durable, durain, dural, duramen, durance, durancy, duration, durative, dure, duress, durity, durous, durum, endurable, endurance, endurant, endure, indurate, induration, nondurable, obduracy, obdurate, obduration, perdurable, perdurance, perdure, subdural"
dy-,two,Greek,"dyad, dyadic"
dyna-,power,Greek,"aerodynamic, aerodynamics, antidynastic, autodyne, didynamous, dynamic, dynamism, dynamite, dynamo, dynast, dynastic, dynasty, heterodyne, metadynamics"
dys-,"badly, ill",Greek,"dysentery, dysphagia, dysphasia, dysplasia, dystrophy"
ebon-,dark,Greek,"ebony, ebonize, ébéniste (from French)"
ec-,out,Greek,"eccentric, ecstasy, ecstatic"
ecclesi-,"assembly, congregation",Greek,"Ecclesiastes, ecclesiastical"
ech-,sound,Greek,"anechoic, catechesis, catechism, catechist, catechize, catechumen, echo, echoic"
eco-,house,Greek,"ecology, economics, economy, ecumenism"
ecto-,outside,Greek,"ectoderm, ectoparasite, ectotherm"
"ed-, es-",eat,Latin,"comedo, comestible, edacity, edibility, edible, escarole, esculent, esurience, esurient, inedia, inedible, inescation, inescate, obese, obesity"
eg-,goat,Greek,egophony
egypt-,"Egypt, egyptian",Greek,egyptology
ego-,"self, I (first person)",Latin and Greek,"egocentric, egocentrism, egoism, egoistic, egomania, egomaniac"
eiren- (iren-),peace,Greek,"irenic (eirenic), irenology"
electr-,amber,Greek,"electric, electricity, electrolysis, electrolyte, electromagnetic, electron, electronic, polyelectrolyte"
"elem-, alm-",pity,Greek,"almoner, alms, eleemosynary"
"em-, empt-",buy,Latin,"adeem, adempt, ademption, exemption, preempt, redeem"
eme-,vomit,Greek,"antiemetic, emesis, emetic, emetine, emetophobia, haematemesis"
emul-,"striving to equal, rivaling",Latin,emulator
"en-, el-, em-",in,Greek,"emphasis, enclitic, enthusiasm, ellipsis, elliptic"
enanti-,opposite,Greek,"enantiomer, enantiomerism, enantiomorph, enantiornithine"
encephal-,brain,Greek,encephalopathy
endo-,"inside, within",Greek,"endocardial, endocerid, endocrine, endocytosis, endogamy, endogenous, endorheic, endoscopy, endoskeleton, endosperm, endospore"
engy-,narrow,Greek,"Engystomops, hypengyophobia"
ennea-,nine,Greek,"ennead, enneadic, enneagon, enneagram, enneahedron, enneamer, enneastyle, enneasyllabic, enneode"
ens-,sword,Latin,"ensiferous, ensiform"
"eo-, eos-","dawn, east",Greek,"Eocene, eohippus, Eosentomon, eosin, eosinophil, eosinophilic, Eozoic"
"ep-, epi-",upon,Greek,"ephedra, ephemeral, ephemeris, epicenter, epidemic, epilog, epiphany, episteme, epistemic, epistemology, epitaph, epitaphios, epithet, epitome, epoch, eponymous"
"equ-, -iqu-","even, equal, level",Latin,"equal, equanimity, equate, Equator, equilibrium, equinox, equipoise, equity, equivalence, equivocal, equivocate, iniquity"
equ-,horse,Latin,equestrian
ere-,row,Greek,"trireme, trierarch, hyperetes"
"erg-, org-, urg-",work,Greek,"allergic, allergy, argon, demiurge, dramaturgy, endoergic, energetic, energy, erg, ergate, ergatocracy, ergodic, ergometer, ergonomics, ergophobia, exoergic, gamergate, georgic, heterorganic, homorganic, liturgy, metallurgy, microorganism, organ, organic, organism, organist, organize, organogenesis, organoid, organoleptic, orgiastic, orgy, parergon, surgeon, synergism, synergy, theurgic, theurgist, theurgy, zymurgy"
erot-,(sexual) love,Greek,"erogenous, erotic, erotomania, erotophilia, erotophobia"
err-,stray,Latin,"aberrance, aberrancy, aberrant, aberration, err, errant, erratic, erratum, erroneous, error, inerrant"
erythr-,red,Greek,"erythema, Erythraean, erythraemia, [Erythrism[]] erythroblastopenia, erythrocyte, erythrocytosis, erythromelalgia, erythrophobia, erythrophore, erythroprosopalgia"
eso-,within,Greek,"esophoria, esoteric, esotericism, esotropia"
eteo-,"true, original",Greek,"Eteocretan, Eteocypriot"
eth-,"custom, habit",Greek,"ethic, ethics, ethology, ethos"
ethm-,"sieve, sift",Greek,ethmoid
ethn-,"people, race, tribe, nation",Greek,"ethnarch, ethnarchy, ethnic, ethnoarchaeology, ethnography, ethnomusicology, polyethnic"
etym-,true,Greek,"etymologic, etymologicon, etymologist, etymologize, etymology, etymon"
eu-,"well, good",Greek,"aneuploidy, eudaemon (eudemon), eukaryote, euphony, euphoria, euphoric, euploid, euthanasia"
eur-,wide,Greek,"aneurysm, eureka, Europe, eurypterid, microaneurysm"
"ex-, e-, ef-","outside, out of, from, out",Latin,"exclude, exist, exit, extend, extrude"
exo-,outside,Greek,"exogamy, exoplanet, exoskeleton, exosome, exosphere, exoteric, exothermic, exotic, exoticism, exotropia"
extra-,outer,Latin,"estrange, estrangement, exterior, extra, extraneous, extraordinary, strange"
extrem-,"outermost, utmost",Latin,"extreme, extremity, extremophile"
"fa-, fa (FA)","say, speak",Latin,"affable, bifarious, confess, defamation, fable, fame, fascinate, fate, ineffability, infamy, infancy, infant, infantry, nefarious, preface, profess"
fab-,bean,Latin,faba bean
"fac-, fact-, -fect-, -fic- (FAC)","do, make",Latin,"affair, affect, affectation, amplify, artifact, artifice, benefactor, benefice, benefit, confection, counterfeit, defeat, defect, disaffect, edifice, effect, effectible, effection, effective, effectivity, effector, effectual, effectuality, effectuate, effectuation, efficacious, efficacity, efficacy, efficiency, efficient, enface, enfacement, facade/façade, face, facet, facette, facial, faciend, facient, facile, facilitate, facilitation, facilitative, facilitator, facilitatory, facility, facinorous, facsimile, fact, faction, factional, factionary, factious, factitious, factor, factorable, factorial, factory, factotum, factual, fake, fashion, feasible, feat, feature, feckless, fiat, forfeit, infect, inofficious, interoffice, laissez-faire, malefaction, manufacture, modify, nonofficial, office, official, officiant, officiary, officiate, officious, olfaction, omnificence, omnificent, parfait, perfect, perfecta, perfectibility, perfectible, perfection, perfective, perfector, pluperfect, prefect, prefectural, prefecture, prequalification, proficiency, proficient, profit, profitability, profitable, profiteer, profiterole, prolific, qualification, quasiperfect, rarefy, refactorable, refashion, refect, refection, refectory, reinfect, remanufacture, resurface, reunification, sacrifice, scientific, semelfactive, suboffice, subprefect, suffice, sufficiency, sufficient, superficial, superficiality, surface, surfeit, surficial, transfection, trifacial, trifecta, uniface, unifacial, unifactorial, unification"
falc-,sickle,Latin,"defalcation, falcate, falciform, falchion, falcon"
"fall-, fallac-, fals-","false, deceive",Latin,"default, fail, fallacious, fallacy, fallible, false, falsetto, falsify, falsity, fault"
famili-,a close attendant,Latin,"familiarity, family"
fasc-,bundle,Latin,"fajita, fasciculation, fascism"
fatu-,"foolish, useless",Latin,"fatuous, infatuation"
feder-,"treaty, agreement, contract, league, pact",Latin,"confederacy, confederation, federal, federate, federation"
fel-,cat,Latin,"Felinae, feline"
felic-,"happy, merry",Latin,felicity
fell-,suck,Latin,fellation
femin-,"women, female",Latin,femininity
femor-,thigh,Latin,"femoral, femur"
"fend-, fens-",strike,Latin,"defend, fend, offend, offense"
fenestr-,window,Latin,defenestration
fer-,"wild, fierce",Latin,"feral, fierce"
-fer-,"to bear, carry",Latin,"aquifer, circumference, confer, conifer, defer, differ, ferry, fertile, infer, Lucifer, offer, prefer, refer, suffer, transfer, vociferous"
ferv-,"boil, glow",Latin,"ferment, fervent, fervid, fervor, perfervid"
feroc-,fierce,Latin,ferocity
ferr-,iron,Latin,ferrous
fet-,stink,Latin,"fetid, fetor"
fic-,fig,Latin,"Ficus, fig"
"fid-, fis-","faith, trust",Latin,"confidante, confidence, confident, diffident, faith, fealty, fidelity, fiduciary, infidel, perfidious, perfidy"
"fig-, fing-, fict- (FIG)","to form, shape",Latin,"configure, disfigure, effigy, feign, fiction, fictitious, figment, figurine, nonfiction, transfigure"
fil-,thread,Latin,"defile, filament, file, filigree, fillet, profile"
fili-,son,Latin,affiliation
fin-,end,Latin,"affinity, confine, define, final, finale, finance, fine, finish, finite, infinite, refine"
"find-, fiss- (FID)","cleave, split",Latin,"fission, fissure"
firm-,"firm, strong",Latin,"affirm, confirm, confirmation, firm, firmament, infirm"
fistul-,"hollow, tube",Latin,fistula
fix-,attach,Latin,"affix, fix, fixation, fixture, prefix, suffix, transfix"
"fl-, fla- (FLA)",blow,Latin,"afflatus, conflate, deflate, flatulence, flatus, flavor, flute, inflate, insufflation, soufflé, sufflate"
flacc-,flabby,Latin,flaccid
flav-,yellow,Latin,flavonoid
"flect-, flex-",bend,Latin,"circumflex, deflect, flex, flexible, flexile, flexion, flexor, genuflection, inflect, inflection, reflect, reflection, reflex"
"flig-, flict-",strike,Latin,"afflict, conflict, inflict, profligacy, profligate"
flor-,flower,Latin,"floral, florid"
"flu-, fluv-, flux-",flow,Latin,"affluent, confluence, effluent, fluctuate, fluctuation, fluency, fluent, fluid, fluidity, flush, fluvial, flux, influence, influx, superfluous"
foc-,hearth,Latin,"bifocal, focal, focus"
"fod-, foss-",dig,Latin,fossil
foen-,hay,Latin,Foeniculum
foli-,leaf,Latin,defoliant
font-,spring,Latin,"font, fontal, fontanelle"
for-,"bore, drill",Latin,"foralite, foramen, foraminifer, perforation"
form-,shape,Latin,"conform, deform, form, formal, formation, formula, formulate, inform, perform, reform, uniform"
formic-,ant,Latin,"formaldehyde, formic acid"
fornic-,vault,Latin,fornication
fort-,strong,Latin,"force, fort, forte, fortify, fortitude, fortress"
fove-,shallow round depression,Latin,fovea
"frag-, frang-, -fring-, fract-",break,Latin,"defray, diffract, fractal, fraction, fractious, fracture, fragile, fragment, frangible, fray, infraction, infringe, refract, refractory, refrain"
"frater-, fratr-",brother,Latin,"fraternal, fraternity"
"fric-, frict-",rub,Latin,"dentifrice, friction"
frig-,cold,Latin,"frigid, frigorific"
front-,forehead,Latin,"confront, frontage, frontal"
"fruct-, frug-",fruit,Latin,"fructose, frugivorous"
"fug-, fugit-",flee,Latin,"centrifuge, fugacious, fugitive, refuge"
fum-,smoke,Latin,"fume, fumigation"
fund-,bottom,Latin,"found, founder, foundation, fund, fundament, fundamental, fundamentalism, profound, profundity"
"fund-, fus-",pour,Latin,"confound, diffusion, effusion, effusive, found, fusion, infusion, perfusion, profuse, profusion, refund, suffusion, transfusion"
"fulmin-, fulgur-",flash,Latin,"fulminant, fulminate, fulmination, fulgurite"
"fung-, funct-",do,Latin,"function, fungibility"
"fur-, furt-","thief, steal",Latin,"ferret, furtive"
furc-,fork,Latin,bifurcation
fusc-,dark,Latin,"fuscous, infuscate, infuscation, obfuscate, obfuscation"
galact- (ΓΛΑΚ),milk,Greek,"galactagogue, galactic, galactorrhea, lactose, polygala, polygalactia, galaxy"
gam-,"marriage, wedding",Greek,"agamic, agamogenesis, agamospermy, agamy, allogamy, anisogamete, anisogamy, apogamy, autogamy, cleistogamous, cleistogamy, cryptogam, deuterogamist, deuterogamy, digamous, digamy, endogamous, endogamy, exogamous, exogamy, gamete, gametic, gametocyte, gametogenesis, gametophyte, geitonogamy, heterogametic, heterogamous, heterogamy, homogametic, karyogamy, misogamy, monogamous, monogamy, oogamy, planogamete, plasmogamy, polygamist, polygamy"
gamb-,leg,Latin,"gam, gambit, gambol, gammon"
gamm-,"G, g",Greek,gamma
gar- (GAR),chatter,Latin,"gargantuan, gargle, gargoyle, garrulous, jargon"
gargal-,tickle,Greek,"gargalesis, gargalesthesia, hypergargalesthesia"
gargar-,gargle,Greek,gargarize
gastr-,stomach,Greek,"epigastric, epigastrium, gasteroid, gastric, gastrin, gastritis, gastroenterologist, gastroenterology, gastrolith, gastronomic, gastronomy, gastroparesis, gastropod, gastroptosis, gastroschisis, gastrotrich, mesogastric, Myxogastria"
"ge-, geo-",earth,Greek,"apogee, biogeography, epigeous, Gaia, geocentric, geocentrism, geode, geodesy, geodetic, geography, geoid, geology, geomancy, geometry, geomorphology, geophysicist, geophysics, georgic, Georgics, geosphere, geostatic, geostrophic, geosynchronous, geosyncline, hypogeous, hypogeum, Pangea, perigee"
geiton-,neighbor,Greek,geitonogamy
gel-,icy cold,Latin,"congeal, congelation, gel, gelati, gelatin, gelatinous, gelation, gelato, gelée, gelid, gelifluction, gelignite, jellification, jelly"
"gen-, gon- (ΓΕΝ)","birth, beget, race, kind",Greek,"allergen, anagenesis, antigen, autogenesis, autogenous, biogenesis, dysgenic, endogen, endogenous, epigene, epigenesis, epigenetics, epigone, erogenous, Eugene, eugenic, eugenics, exogenous, gametogenesis, gene, genealogy, genesis, genetic, genocide, genotype, genophobia, gonad, heterogeneous, homogenesis, homogenetic, homogeneous, hydrogen, hypogene, hypogenesis, hypogenic, hypogenous, monogenic, oogenesis, paragenesis, pathogen, polygenous, progenesis, pseudogene, spermatogenesis"
gen- (GEN),beget,Latin,"congenial, engender, gender, generate, generation, genial, genius, genital, genitive, genteel, gentle, genuine, genus, indigenous, ingenious, ingenuous, primogenitor, progeny"
gephyr-,bridge,Greek,gephyrophobia
ger-,old,Greek,"erigeron, gerascophobia, geriatric, geriatrics, gerontocracy, gerontology, gerontophile, gerontophilia, gerontophobia, gerontoplast, gerousia, progeria, progeroid"
"ger-, gest- (GES)","bear, carry",Latin,"agger, congest, digest, gerundive, gestation, register, suggest, vicegerent"
geran-,crane,Greek,Geranium
germ-,sprout,Latin,"germ, German, germane, germicide, germinal, germinate, germination, nongermane, regerminate"
geu- (ΓΕΥΣ),taste,Greek,"ageusia, dysgeusia, hypergeusia, hypogeusia, parageusia"
glabr-,hairless,Latin,"glabella, glabellar, glabrate, glabrescent, glabrous"
glaci-,ice,Latin,"glacé, glacial, glaciation, glacier, glacious, glacis, glance"
gladi-,sword,Latin,"gladiator, gladiolus"
glauc-,gray,Greek,"glaucophane, Glaucopsyche, glaucophobia"
glia-,glue,Greek,"glial, glioblastoma, glioma, gliosis, microglia, neuroglia"
glob-,sphere,Latin,"global, globate, globe, globose, globosity, globular, globule, globulin, inglobate"
glori-,glory,Latin,"gloriation, glorification, glorify, gloriole, glorious, glory, inglorious, vainglorious, vainglory"
"gloss-, glot-",tongue,Greek,"aglossia, anthropoglot, aryepiglottic, diglossia, epiglottis, gloss, glossary, glossophobia, glottis, heterogloss, heteroglossia, idioglossia, isogloss, monoglot, monoglottism, polyglot, polyglottism"
glut-,rump,Greek,gluteus
glutin-,glue,Latin,"agglutinant, agglutinate, agglutination, agglutinative, glue, glutelin, gluten, glutinosity, glutinous, nonagglutinative"
glyc-,sweet,Greek,"glycogen, glycogenesis, glycogenolysis, glycolipid, glycophyte, glycoprotein, glycoside, glycosidic, hypoglycaemia"
